run_id,seed,scenario_id,fault_type,fault_active,fault_severity,gNb_num,ue_per_gNb,effective_lambda_ull,effective_lambda_be,flow_id,src_ip,dst_ip,protocol,src_port,dst_port,tx_packets,rx_packets,lost_packets,undelivered_packets,tx_bytes,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_ratio,undelivered_ratio,time_first_tx_s,time_last_rx_s,flow_duration_s,sim_time_s,source_file
2,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5998,0,2,768000,767744,10.236785,0.276044,0.030037,0.0,0.000333,0.4,0.999988,0.599988,1.0,seed1_run2_radio_degradation_s2.csv
2,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,153,0,5847,7680000,195840,2.630569,293.084381,3.783224,0.0,0.9745,0.4,0.995582,0.595582,1.0,seed1_run2_radio_degradation_s2.csv
2,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5998,0,2,768000,767744,10.236785,0.276044,0.030037,0.0,0.000333,0.4,0.999988,0.599988,1.0,seed1_run2_radio_degradation_s3.csv
2,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,76,0,5924,7680000,97280,1.309987,297.719123,7.683333,0.0,0.987333,0.4,0.994082,0.594082,1.0,seed1_run2_radio_degradation_s3.csv
2,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,12000,11995,0,5,1536000,1535360,20.471863,0.277835,0.020026,0.0,0.000417,0.4,0.999988,0.599988,1.0,seed1_run2_traffic_overload_s1.csv
2,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,12000,1765,0,10235,15360000,2259200,30.131096,257.075513,0.288577,0.0,0.852917,0.4,0.999832,0.599832,1.0,seed1_run2_traffic_overload_s1.csv
2,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,24000,23990,0,10,3072000,3070720,40.943421,0.283209,0.030001,0.0,0.000417,0.4,0.999993,0.599993,1.0,seed1_run2_traffic_overload_s2.csv
2,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,24000,1765,0,22235,30720000,2259200,30.131096,279.125513,0.313577,0.0,0.926458,0.4,0.999832,0.599832,1.0,seed1_run2_traffic_overload_s2.csv
2,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,36000,35981,0,19,4608000,4605568,61.413788,0.282618,0.024443,0.0,0.000528,0.4,0.999939,0.599939,1.0,seed1_run2_traffic_overload_s3.csv
2,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,36000,1765,0,34235,46080000,2259200,30.131096,286.475219,0.32191,0.0,0.950972,0.4,0.999832,0.599832,1.0,seed1_run2_traffic_overload_s3.csv
