run_id,seed,scenario_id,fault_type,fault_active,fault_severity,gNb_num,ue_per_gNb,effective_lambda_ull,effective_lambda_be,flow_id,src_ip,dst_ip,protocol,src_port,dst_port,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_ratio,time_first_tx_s,time_last_rx_s,flow_duration_s,sim_time_s
5,3,step3_dataset,traffic_overload,1,3,1,2,60000,60000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,36000,35981,0,4608000,4605568,61.413788,0.282618,0.024443,0.000000,0.400000,0.999939,0.599939,1.000000
5,3,step3_dataset,traffic_overload,1,3,1,2,60000,60000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,36000,11121,0,46080000,14234880,189.851514,208.533633,0.063215,0.000000,0.400000,0.999832,0.599832,1.000000
